Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Services_Used,Data_Exhaustion,Other_Networks,Reasons_Discontinue,Monthly_Data_Usage
Male,College of Art and Built Environment,Yes,200,Off-campus,Yes,Daily,2,"Voice Calls, SMS/Text messaging, Mobile data/Internet, None of the above",Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing, Poor network quality/coverage",5.44
Female,College of Humanity and Social Science,Yes,500,Off-campus,Yes,Never,4,"None of the above, Mobile data/Internet, Voice Calls",No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",7.94
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,No,Several times a week,4,"Mobile data/Internet, Voice Calls, SMS/Text messaging",No,Yes,High costs/pricing,0.58
Female,College of Engineering,No,400,Off-campus,Yes,Daily,5,"SMS/Text messaging, None of the above, Voice Calls",Yes,Yes,Unsatisfactory customer service,6.32
Male,School of Business,No,400,Off-campus,Yes,Daily,3,Mobile data/Internet,Yes,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing, Insufficient data allowance",5.27
Female,School of Business,No,600,Off-campus,No,Several times a week,1,"SMS/Text messaging, Voice Calls",No,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",9.1
Male,College of Humanity and Social Science,No,600,Off-campus,No,Several times a week,3,"Voice Calls, None of the above",No,Yes,"Poor network quality/coverage, Unsatisfactory customer service",9.84
Female,College of Science,Yes,200,Off-campus,Yes,Several times a week,5,"None of the above, Mobile data/Internet, SMS/Text messaging, Voice Calls",Yes,Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",3.1
Female,College of Humanity and Social Science,No,400,Off-campus,No,Occasionally,1,Mobile data/Internet,No,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",8.11
Male,College of Agriculture and Natural Resources,Yes,300,Off-campus,No,Occasionally,5,"None of the above, Voice Calls, Mobile data/Internet",No,Yes,High costs/pricing,1.08
Female,College of Art and Built Environment,Yes,100,Off-campus,No,Daily,2,"None of the above, Mobile data/Internet, SMS/Text messaging, Voice Calls",Yes,Yes,High costs/pricing,7.93
Male,School of Business,Yes,400,On-campus,No,Several times a week,1,"Voice Calls, SMS/Text messaging, None of the above, Mobile data/Internet",No,No,"Unsatisfactory customer service, Poor network quality/coverage",1.34
Female,College of Science,Yes,600,Off-campus,Yes,Daily,2,Voice Calls,Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",0.65
Female,College of Art and Built Environment,Yes,300,On-campus,No,Several times a week,1,SMS/Text messaging,No,Yes,"Unsatisfactory customer service, High costs/pricing",4.35
Female,College of Engineering,Yes,500,Off-campus,No,Occasionally,5,"Voice Calls, None of the above",Yes,Yes,Unsatisfactory customer service,3.2
Female,School of Business,Yes,100,Off-campus,No,Occasionally,3,"Mobile data/Internet, None of the above, SMS/Text messaging",No,Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",6.29
Male,College of Science,No,100,Off-campus,No,Daily,1,Voice Calls,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing, Poor network quality/coverage",9.46
Male,College of Science,Yes,300,On-campus,Yes,Several times a week,4,"None of the above, SMS/Text messaging",No,Yes,Poor network quality/coverage,4.1
Male,College of Science,Yes,100,Off-campus,Yes,Never,2,"Voice Calls, Mobile data/Internet, None of the above, SMS/Text messaging",No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing, Insufficient data allowance",1.41
Male,College of Science,No,300,Off-campus,Yes,Several times a week,5,SMS/Text messaging,Yes,Yes,Insufficient data allowance,3.83
Female,College of Science,Yes,100,Off-campus,Yes,Occasionally,2,SMS/Text messaging,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage",5.93
Female,College of Engineering,Yes,100,Off-campus,Yes,Several times a week,5,"Voice Calls, SMS/Text messaging, Mobile data/Internet, None of the above",No,Yes,High costs/pricing,7.0
Female,College of Engineering,Yes,300,Off-campus,Yes,Occasionally,4,"SMS/Text messaging, None of the above",Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",3.72
Male,College of Agriculture and Natural Resources,Yes,100,On-campus,Yes,Several times a week,4,Mobile data/Internet,Yes,Yes,"Poor network quality/coverage, High costs/pricing",2.44
Female,College of Science,No,200,Off-campus,Yes,Several times a week,2,"None of the above, Voice Calls, SMS/Text messaging",Yes,No,High costs/pricing,6.37
Male,College of Engineering,No,100,On-campus,No,Occasionally,2,None of the above,No,Yes,"High costs/pricing, Poor network quality/coverage",1.28
Male,School of Business,Yes,100,Off-campus,No,Daily,4,"Mobile data/Internet, None of the above, SMS/Text messaging",No,Yes,Insufficient data allowance,6.29
Male,College of Engineering,No,100,Off-campus,Yes,Several times a week,2,"Voice Calls, None of the above, SMS/Text messaging",Yes,Yes,Poor network quality/coverage,2.06
Female,School of Business,Yes,100,On-campus,Yes,Daily,2,Mobile data/Internet,No,Yes,Unsatisfactory customer service,5.11
Male,College of Engineering,Yes,400,Off-campus,No,Several times a week,5,"Mobile data/Internet, None of the above, SMS/Text messaging, Voice Calls",Yes,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",1.41
Female,College of Humanity and Social Science,Yes,600,Off-campus,No,Occasionally,2,"SMS/Text messaging, Mobile data/Internet, None of the above",No,Yes,Insufficient data allowance,4.08
Female,College of Humanity and Social Science,No,200,Off-campus,No,Daily,5,"Mobile data/Internet, Voice Calls, None of the above, SMS/Text messaging",No,Yes,Unsatisfactory customer service,3.54
Male,College of Agriculture and Natural Resources,No,400,Off-campus,No,Daily,3,"Mobile data/Internet, None of the above, Voice Calls, SMS/Text messaging",No,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",8.56
Female,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Daily,2,"None of the above, Mobile data/Internet, SMS/Text messaging, Voice Calls",No,Yes,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",8.41
Female,College of Engineering,Yes,500,Off-campus,Yes,Daily,1,"SMS/Text messaging, Mobile data/Internet, Voice Calls",No,Yes,High costs/pricing,5.49
Female,School of Business,Yes,200,Off-campus,No,Several times a week,1,"None of the above, Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",8.35
Female,College of Agriculture and Natural Resources,No,100,Off-campus,No,Several times a week,3,SMS/Text messaging,No,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",6.78
Male,College of Engineering,Yes,300,Off-campus,Yes,Occasionally,3,"Voice Calls, SMS/Text messaging, None of the above, Mobile data/Internet",No,Yes,"High costs/pricing, Poor network quality/coverage",7.07
Male,College of Art and Built Environment,Yes,100,On-campus,No,Several times a week,2,"None of the above, Mobile data/Internet",No,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",7.84
Male,College of Engineering,Yes,200,Off-campus,Yes,Daily,2,None of the above,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",9.56
Female,College of Engineering,No,400,Off-campus,Yes,Occasionally,5,"Voice Calls, SMS/Text messaging",No,Yes,High costs/pricing,4.41
Female,School of Business,Yes,200,Off-campus,Yes,Daily,4,"SMS/Text messaging, Mobile data/Internet",Yes,Yes,High costs/pricing,1.34
Male,College of Science,Yes,100,Off-campus,Yes,Daily,2,Mobile data/Internet,No,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",7.89
Female,College of Art and Built Environment,Yes,300,Off-campus,Yes,Daily,2,"Mobile data/Internet, Voice Calls",Yes,Yes,Poor network quality/coverage,5.21
Female,College of Humanity and Social Science,Yes,300,On-campus,Yes,Daily,4,"Mobile data/Internet, Voice Calls, SMS/Text messaging",No,Yes,Unsatisfactory customer service,9.68
Female,College of Science,Yes,200,Off-campus,No,Daily,4,Voice Calls,No,Yes,"Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",2.71
Male,College of Art and Built Environment,Yes,300,Off-campus,Yes,Occasionally,3,"Voice Calls, None of the above",Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service",4.75
Female,College of Agriculture and Natural Resources,Yes,300,On-campus,Yes,Occasionally,2,"Mobile data/Internet, Voice Calls, SMS/Text messaging, None of the above",No,Yes,High costs/pricing,8.08
Male,College of Humanity and Social Science,No,100,Off-campus,No,Several times a week,5,"SMS/Text messaging, Voice Calls",Yes,No,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance, Poor network quality/coverage",4.94
Male,College of Science,No,100,Off-campus,Yes,Several times a week,4,"SMS/Text messaging, None of the above, Voice Calls, Mobile data/Internet",Yes,Yes,"Unsatisfactory customer service, High costs/pricing",1.24
Male,College of Art and Built Environment,Yes,100,Off-campus,Yes,Never,4,"SMS/Text messaging, Mobile data/Internet, None of the above",Yes,Yes,Unsatisfactory customer service,6.54
Male,College of Science,Yes,200,Off-campus,Yes,Daily,1,"SMS/Text messaging, None of the above, Voice Calls, Mobile data/Internet",No,Yes,"Insufficient data allowance, Poor network quality/coverage",0.67
Male,College of Art and Built Environment,Yes,400,Off-campus,No,Daily,1,"Mobile data/Internet, SMS/Text messaging",No,Yes,"High costs/pricing, Poor network quality/coverage",7.61
Female,College of Humanity and Social Science,Yes,100,Off-campus,No,Several times a week,3,"Voice Calls, None of the above",No,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",9.95
Female,College of Humanity and Social Science,Yes,300,Off-campus,No,Daily,4,"Mobile data/Internet, SMS/Text messaging",No,Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance",4.12
Male,College of Engineering,Yes,400,Off-campus,No,Daily,2,None of the above,Yes,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",8.38
Male,College of Art and Built Environment,Yes,200,Off-campus,No,Never,4,"Voice Calls, Mobile data/Internet",Yes,Yes,"Poor network quality/coverage, High costs/pricing",3.13
Male,College of Art and Built Environment,No,200,Off-campus,No,Daily,3,Mobile data/Internet,No,No,"High costs/pricing, Poor network quality/coverage",8.77
Female,College of Agriculture and Natural Resources,Yes,300,Off-campus,Yes,Occasionally,1,"Voice Calls, Mobile data/Internet, SMS/Text messaging",No,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",5.08
Female,College of Art and Built Environment,Yes,200,Off-campus,No,Occasionally,2,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance, High costs/pricing",9.9
Female,College of Engineering,Yes,100,Off-campus,No,Several times a week,5,Mobile data/Internet,No,Yes,"High costs/pricing, Poor network quality/coverage",2.26
Male,College of Art and Built Environment,Yes,300,Off-campus,Yes,Daily,5,"Voice Calls, None of the above",No,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",4.47
Male,School of Business,Yes,200,Off-campus,Yes,Several times a week,5,"SMS/Text messaging, Voice Calls",Yes,No,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",4.18
Female,College of Science,No,300,Off-campus,Yes,Several times a week,1,None of the above,Yes,Yes,Insufficient data allowance,9.97
Male,College of Engineering,Yes,500,Off-campus,Yes,Several times a week,4,Mobile data/Internet,Yes,Yes,"Poor network quality/coverage, Insufficient data allowance",4.07
Male,College of Agriculture and Natural Resources,Yes,400,On-campus,No,Occasionally,5,Voice Calls,No,Yes,"Poor network quality/coverage, High costs/pricing",6.9
Male,School of Business,No,400,Off-campus,Yes,Occasionally,3,SMS/Text messaging,No,Yes,Poor network quality/coverage,6.31
Male,College of Art and Built Environment,Yes,200,Off-campus,No,Daily,1,"SMS/Text messaging, Mobile data/Internet, None of the above, Voice Calls",No,Yes,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",3.59
Female,College of Art and Built Environment,Yes,500,Off-campus,No,Occasionally,4,"Voice Calls, Mobile data/Internet",No,Yes,"Unsatisfactory customer service, Insufficient data allowance",9.43
Female,College of Science,Yes,200,Off-campus,No,Several times a week,4,Mobile data/Internet,Yes,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",8.98
Female,College of Agriculture and Natural Resources,Yes,300,Off-campus,Yes,Several times a week,5,"Mobile data/Internet, None of the above, Voice Calls, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, High costs/pricing",0.63
Male,College of Science,Yes,100,Off-campus,Yes,Occasionally,3,"Mobile data/Internet, SMS/Text messaging, None of the above",No,Yes,Unsatisfactory customer service,9.95
Male,College of Humanity and Social Science,Yes,300,On-campus,Yes,Several times a week,5,Voice Calls,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage, High costs/pricing",9.25
Female,College of Engineering,No,100,Off-campus,Yes,Several times a week,4,None of the above,No,Yes,"High costs/pricing, Unsatisfactory customer service",8.96
Female,College of Engineering,No,200,Off-campus,Yes,Rarely,2,"Mobile data/Internet, SMS/Text messaging, None of the above",Yes,No,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",0.93
Female,College of Engineering,Yes,400,Off-campus,No,Daily,5,"Mobile data/Internet, None of the above",No,No,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",1.34
Female,College of Science,Yes,300,Off-campus,No,Daily,1,Mobile data/Internet,Yes,Yes,High costs/pricing,2.41
Female,College of Science,No,500,Off-campus,Yes,Several times a week,5,"SMS/Text messaging, Voice Calls, Mobile data/Internet, None of the above",No,Yes,"Insufficient data allowance, Unsatisfactory customer service",8.21
Male,School of Business,Yes,400,Off-campus,No,Several times a week,1,"Voice Calls, Mobile data/Internet, None of the above",No,Yes,"Insufficient data allowance, Unsatisfactory customer service",1.99
Female,College of Science,Yes,500,Off-campus,No,Occasionally,3,"Voice Calls, SMS/Text messaging",Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",2.42
Female,College of Agriculture and Natural Resources,No,300,Off-campus,No,Daily,5,"None of the above, Mobile data/Internet, Voice Calls",No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing, Insufficient data allowance",9.39
Male,School of Business,Yes,100,On-campus,No,Several times a week,2,"None of the above, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, Poor network quality/coverage",8.93
Female,College of Engineering,Yes,200,Off-campus,Yes,Several times a week,2,Mobile data/Internet,No,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",7.47
Male,College of Agriculture and Natural Resources,No,300,On-campus,Yes,Occasionally,4,"SMS/Text messaging, Mobile data/Internet, Voice Calls, None of the above",No,Yes,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",3.05
Female,College of Art and Built Environment,Yes,200,Off-campus,Yes,Daily,1,"Mobile data/Internet, Voice Calls, None of the above",No,Yes,Insufficient data allowance,1.66
Male,College of Art and Built Environment,Yes,200,Off-campus,Yes,Rarely,4,"None of the above, Voice Calls, SMS/Text messaging, Mobile data/Internet",No,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",2.18
Female,College of Art and Built Environment,Yes,200,Off-campus,Yes,Daily,3,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",Yes,Yes,High costs/pricing,6.12
Male,College of Agriculture and Natural Resources,No,200,Off-campus,Yes,Daily,2,"Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,No,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance, Poor network quality/coverage",3.89
Female,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Several times a week,2,"Voice Calls, SMS/Text messaging, None of the above, Mobile data/Internet",Yes,Yes,"Poor network quality/coverage, High costs/pricing",8.81
Female,School of Business,No,600,Off-campus,No,Daily,4,"None of the above, Voice Calls, SMS/Text messaging, Mobile data/Internet",No,Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage",1.04
Male,School of Business,No,100,Off-campus,No,Several times a week,4,"SMS/Text messaging, None of the above",No,Yes,Unsatisfactory customer service,8.44
Female,College of Science,Yes,300,Off-campus,Yes,Several times a week,4,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,Yes,Poor network quality/coverage,7.28
Male,College of Agriculture and Natural Resources,Yes,400,Off-campus,No,Occasionally,5,"Voice Calls, None of the above, SMS/Text messaging",No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing, Insufficient data allowance",5.13
Female,College of Art and Built Environment,Yes,300,Off-campus,Yes,Occasionally,1,"None of the above, Mobile data/Internet",No,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",5.15
Female,College of Science,Yes,200,Off-campus,Yes,Occasionally,4,"Voice Calls, Mobile data/Internet",Yes,Yes,High costs/pricing,2.79
Male,College of Agriculture and Natural Resources,Yes,300,On-campus,Yes,Daily,3,"None of the above, Voice Calls, SMS/Text messaging",No,No,"Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",8.46
Female,School of Business,Yes,400,Off-campus,No,Several times a week,5,"None of the above, Voice Calls, SMS/Text messaging",Yes,Yes,"Poor network quality/coverage, Insufficient data allowance",6.37
Male,College of Art and Built Environment,Yes,100,Off-campus,Yes,Daily,2,"None of the above, Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,No,"Insufficient data allowance, Unsatisfactory customer service",9.23
Male,College of Art and Built Environment,Yes,600,Off-campus,Yes,Rarely,1,"None of the above, SMS/Text messaging, Voice Calls, Mobile data/Internet",Yes,Yes,"High costs/pricing, Insufficient data allowance",3.25
Male,College of Science,Yes,400,Off-campus,Yes,Several times a week,1,"Voice Calls, None of the above, SMS/Text messaging, Mobile data/Internet",No,Yes,"High costs/pricing, Insufficient data allowance",4.67
Male,College of Humanity and Social Science,Yes,100,Off-campus,Yes,Daily,3,"None of the above, Mobile data/Internet, SMS/Text messaging, Voice Calls",No,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",6.42
Female,College of Agriculture and Natural Resources,Yes,200,Off-campus,No,Several times a week,5,None of the above,No,Yes,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",9.3
Female,College of Humanity and Social Science,Yes,100,Off-campus,No,Never,3,"Voice Calls, Mobile data/Internet, None of the above, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",9.84
Female,College of Engineering,No,300,Off-campus,No,Several times a week,5,SMS/Text messaging,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",7.23
Female,College of Humanity and Social Science,Yes,500,Off-campus,Yes,Occasionally,5,"None of the above, Mobile data/Internet, Voice Calls",Yes,Yes,"High costs/pricing, Unsatisfactory customer service",8.99
Male,School of Business,Yes,100,Off-campus,Yes,Daily,4,"SMS/Text messaging, None of the above, Voice Calls, Mobile data/Internet",No,Yes,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",7.67
Female,College of Engineering,Yes,200,Off-campus,Yes,Several times a week,1,"Mobile data/Internet, Voice Calls, None of the above",Yes,Yes,Insufficient data allowance,3.64
Female,College of Science,Yes,300,Off-campus,Yes,Occasionally,3,"Voice Calls, SMS/Text messaging, None of the above, Mobile data/Internet",No,Yes,"Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance",9.62
Male,College of Agriculture and Natural Resources,Yes,300,Off-campus,Yes,Daily,1,"Voice Calls, SMS/Text messaging",Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service",7.38
Male,School of Business,Yes,100,Off-campus,Yes,Occasionally,4,"None of the above, Voice Calls",No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing, Insufficient data allowance",1.81
Male,College of Humanity and Social Science,No,100,On-campus,No,Occasionally,3,"SMS/Text messaging, Voice Calls",Yes,Yes,"Insufficient data allowance, High costs/pricing",4.11
Female,College of Art and Built Environment,Yes,400,Off-campus,Yes,Occasionally,3,"None of the above, Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,Yes,Insufficient data allowance,1.47
Male,College of Art and Built Environment,Yes,100,On-campus,No,Daily,3,Voice Calls,No,Yes,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance",9.21
