Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Services_Used,Data_Exhaustion,Other_Networks,Reasons_Discontinue,Monthly_Data_Usage
Male,College of Science,No,400,Off-campus,Yes,Several times a week,1,"None of the above, Mobile data/Internet",No,Yes,High costs/pricing,0.55
Female,College of Humanity and Social Science,Yes,300,Off-campus,Yes,Daily,1,"SMS/Text messaging, None of the above, Mobile data/Internet",No,Yes,Poor network quality/coverage,5.4
Female,College of Humanity and Social Science,No,400,On-campus,No,Several times a week,3,SMS/Text messaging,Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service",5.62
Male,School of Business,No,200,Off-campus,No,Daily,4,"None of the above, Mobile data/Internet",No,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",6.78
Female,College of Science,Yes,600,Off-campus,Yes,Several times a week,3,"SMS/Text messaging, Voice Calls, Mobile data/Internet, None of the above",No,Yes,"High costs/pricing, Poor network quality/coverage, Insufficient data allowance",8.93
Male,School of Business,Yes,600,On-campus,No,Daily,5,"SMS/Text messaging, Voice Calls, None of the above, Mobile data/Internet",No,Yes,"High costs/pricing, Unsatisfactory customer service",2.72
Male,School of Business,No,500,On-campus,Yes,Several times a week,1,"Voice Calls, Mobile data/Internet, None of the above, SMS/Text messaging",No,Yes,Insufficient data allowance,9.19
Female,School of Business,No,200,On-campus,No,Occasionally,3,"Voice Calls, Mobile data/Internet, None of the above",Yes,Yes,None,4.16
Male,College of Engineering,Yes,100,On-campus,No,Occasionally,5,"None of the above, Voice Calls, SMS/Text messaging, Mobile data/Internet",Yes,Yes,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance, Poor network quality/coverage",5.62
Male,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Never,2,"None of the above, SMS/Text messaging, Mobile data/Internet",No,No,Poor network quality/coverage,4.69
Male,College of Agriculture and Natural Resources,Yes,600,On-campus,No,Daily,2,None of the above,Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",5.2
Female,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Daily,6,"Voice Calls, Mobile data/Internet",Yes,Yes,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",10.02
Male,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Occasionally,1,"None of the above, Voice Calls, Mobile data/Internet",No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing",0.82
Male,College of Agriculture and Natural Resources,Yes,200,On-campus,Yes,Several times a week,2,None of the above,Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",3.01
Male,College of Art and Built Environment,Yes,200,Off-campus,Yes,Occasionally,2,SMS/Text messaging,Yes,Yes,Poor network quality/coverage,5.64
Male,College of Agriculture and Natural Resources,Yes,500,Off-campus,No,Daily,1,"Voice Calls, SMS/Text messaging, None of the above",Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",6.63
Male,College of Science,Yes,200,Off-campus,No,Daily,5,"Voice Calls, SMS/Text messaging",Yes,Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance",4.87
Female,College of Science,Yes,400,Off-campus,Yes,Several times a week,6,"Mobile data/Internet, None of the above",Yes,Yes,Insufficient data allowance,8.01
Female,College of Science,Yes,300,Off-campus,No,Several times a week,1,"None of the above, Voice Calls",Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing, Insufficient data allowance",6.04
Male,School of Business,Yes,100,Off-campus,Yes,Occasionally,4,Voice Calls,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",7.59
Male,College of Humanity and Social Science,Yes,100,Off-campus,Yes,Several times a week,1,"Mobile data/Internet, SMS/Text messaging",Yes,Yes,Poor network quality/coverage,1.89
Female,College of Science,No,600,Off-campus,No,Rarely,3,"None of the above, Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,Yes,Poor network quality/coverage,7.98
Male,College of Engineering,Yes,400,Off-campus,Yes,Daily,5,"None of the above, SMS/Text messaging, Mobile data/Internet",No,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",4.42
Male,College of Science,Yes,300,Off-campus,No,Daily,4,None of the above,No,Yes,Insufficient data allowance,5.14
Male,College of Science,No,600,Off-campus,No,Several times a week,3,"None of the above, Mobile data/Internet, SMS/Text messaging, Voice Calls",No,Yes,"High costs/pricing, Poor network quality/coverage",3.38
Male,College of Agriculture and Natural Resources,No,100,Off-campus,Yes,Occasionally,4,"SMS/Text messaging, None of the above, Mobile data/Internet",Yes,Yes,Insufficient data allowance,8.75
Male,College of Humanity and Social Science,No,400,Off-campus,No,Occasionally,1,"Mobile data/Internet, SMS/Text messaging, None of the above, Voice Calls",No,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",4.01
Male,School of Business,Yes,400,Off-campus,No,Occasionally,4,"Voice Calls, Mobile data/Internet, SMS/Text messaging, None of the above",No,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",3.48
Male,College of Agriculture and Natural Resources,No,400,On-campus,Yes,Several times a week,4,"Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,Yes,Poor network quality/coverage,4.68
Male,College of Humanity and Social Science,No,400,Off-campus,No,Daily,5,"Voice Calls, SMS/Text messaging, None of the above, Mobile data/Internet",No,No,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",8.46
Male,College of Engineering,No,500,Off-campus,Yes,Several times a week,1,"None of the above, Voice Calls, SMS/Text messaging, Mobile data/Internet",No,No,Insufficient data allowance,1.93
Female,College of Humanity and Social Science,Yes,300,Off-campus,No,Occasionally,4,"None of the above, Mobile data/Internet",No,Yes,High costs/pricing,6.38
Female,College of Science,Yes,300,Off-campus,Yes,Occasionally,3,"Voice Calls, Mobile data/Internet, SMS/Text messaging",No,No,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance, Poor network quality/coverage",9.04
Male,College of Art and Built Environment,No,100,Off-campus,Yes,Several times a week,4,"SMS/Text messaging, Mobile data/Internet, None of the above, Voice Calls",Yes,Yes,"Poor network quality/coverage, High costs/pricing",4.2
Male,College of Engineering,Yes,600,Off-campus,Yes,Daily,5,SMS/Text messaging,No,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",0.87
Female,School of Business,No,500,Off-campus,Yes,Occasionally,4,"Voice Calls, SMS/Text messaging, None of the above, Mobile data/Internet",No,Yes,Insufficient data allowance,6.58
Male,College of Art and Built Environment,No,400,Off-campus,No,Daily,1,Mobile data/Internet,Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service",6.98
Male,College of Engineering,Yes,600,Off-campus,Yes,Daily,4,"Mobile data/Internet, SMS/Text messaging, Voice Calls, None of the above",No,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage, High costs/pricing",9.26
Female,College of Humanity and Social Science,No,600,Off-campus,Yes,Several times a week,3,SMS/Text messaging,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance, High costs/pricing",2.59
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,Yes,Daily,6,"SMS/Text messaging, Voice Calls, None of the above, Mobile data/Internet",No,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",9.32
Female,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Daily,2,Mobile data/Internet,No,Yes,Unsatisfactory customer service,0.85
Female,School of Business,Yes,600,On-campus,No,Several times a week,5,"None of the above, Mobile data/Internet, SMS/Text messaging",Yes,Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",1.39
Male,College of Art and Built Environment,Yes,200,On-campus,Yes,Several times a week,4,"SMS/Text messaging, Voice Calls, Mobile data/Internet",Yes,Yes,Unsatisfactory customer service,1.35
Female,School of Business,Yes,300,Off-campus,Yes,Occasionally,5,SMS/Text messaging,Yes,Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage",8.09
Male,School of Business,Yes,200,Off-campus,Yes,Several times a week,3,"Voice Calls, Mobile data/Internet, SMS/Text messaging, None of the above",No,Yes,"High costs/pricing, Unsatisfactory customer service",5.66
Female,School of Business,Yes,300,Off-campus,Yes,Never,2,"Mobile data/Internet, None of the above, SMS/Text messaging, Voice Calls",No,Yes,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance",3.14
Female,College of Art and Built Environment,Yes,500,On-campus,Yes,Several times a week,3,"Mobile data/Internet, None of the above, Voice Calls, SMS/Text messaging",No,Yes,"Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",6.23
Female,College of Humanity and Social Science,Yes,600,Off-campus,Yes,Daily,2,"Mobile data/Internet, SMS/Text messaging",No,Yes,High costs/pricing,4.57
Male,College of Science,No,400,Off-campus,Yes,Several times a week,4,None of the above,No,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing, Poor network quality/coverage",9.66
Female,College of Art and Built Environment,No,500,On-campus,No,Occasionally,5,"Voice Calls, None of the above, Mobile data/Internet, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, High costs/pricing",5.01
Female,College of Humanity and Social Science,No,100,Off-campus,No,Several times a week,1,SMS/Text messaging,No,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",1.28
Female,School of Business,Yes,600,Off-campus,No,Occasionally,3,Voice Calls,No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",9.44
Male,College of Science,Yes,100,Off-campus,No,Daily,4,"SMS/Text messaging, None of the above, Voice Calls",Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",8.06
Female,College of Art and Built Environment,No,400,Off-campus,No,Rarely,2,"Voice Calls, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",1.93
Male,College of Humanity and Social Science,No,100,Off-campus,Yes,Several times a week,2,Voice Calls,No,Yes,None,8.18
Female,College of Science,Yes,200,Off-campus,Yes,Occasionally,3,"Voice Calls, SMS/Text messaging, None of the above",Yes,Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage",6.2
Female,College of Engineering,No,600,Off-campus,Yes,Several times a week,3,SMS/Text messaging,Yes,Yes,"Poor network quality/coverage, Insufficient data allowance",3.25
Female,College of Agriculture and Natural Resources,No,100,Off-campus,No,Daily,2,Voice Calls,Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",9.49
Male,College of Engineering,No,400,On-campus,No,Several times a week,5,"None of the above, SMS/Text messaging, Voice Calls",Yes,Yes,High costs/pricing,9.12
Female,College of Engineering,Yes,500,Off-campus,Yes,Occasionally,2,"Voice Calls, SMS/Text messaging, None of the above, Mobile data/Internet",No,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",4.69
Female,College of Art and Built Environment,No,300,Off-campus,Yes,Daily,4,"None of the above, SMS/Text messaging",No,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",6.83
Male,College of Humanity and Social Science,Yes,100,On-campus,No,Rarely,1,"SMS/Text messaging, None of the above, Voice Calls",Yes,Yes,High costs/pricing,1.41
Female,School of Business,Yes,300,Off-campus,Yes,Daily,1,"SMS/Text messaging, Mobile data/Internet, None of the above, Voice Calls",No,Yes,"Unsatisfactory customer service, Poor network quality/coverage",2.66
Male,School of Business,Yes,200,Off-campus,No,Daily,2,"Voice Calls, Mobile data/Internet",Yes,Yes,None,1.91
Female,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Daily,3,"None of the above, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",2.9
Male,School of Business,Yes,600,Off-campus,Yes,Daily,3,"Voice Calls, Mobile data/Internet, SMS/Text messaging",Yes,No,"Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",2.74
Female,College of Science,No,400,On-campus,No,Occasionally,2,Voice Calls,No,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",8.41
Male,College of Humanity and Social Science,Yes,300,On-campus,No,Occasionally,5,"Voice Calls, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",9.36
Female,College of Engineering,Yes,200,On-campus,Yes,Daily,1,"Voice Calls, Mobile data/Internet",No,Yes,Unsatisfactory customer service,5.6
Male,College of Humanity and Social Science,Yes,300,Off-campus,No,Several times a week,6,SMS/Text messaging,Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",5.72
Female,College of Engineering,Yes,100,Off-campus,Yes,Daily,3,"SMS/Text messaging, None of the above, Mobile data/Internet",Yes,Yes,Poor network quality/coverage,4.35
Male,College of Engineering,Yes,500,Off-campus,Yes,Occasionally,4,"Voice Calls, None of the above, Mobile data/Internet, SMS/Text messaging",No,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",2.1
Female,College of Art and Built Environment,Yes,400,Off-campus,Yes,Daily,1,None of the above,Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",7.66
Male,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Rarely,5,"SMS/Text messaging, Mobile data/Internet, None of the above",No,Yes,"Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",8.26
Male,College of Science,Yes,400,On-campus,Yes,Several times a week,2,"None of the above, SMS/Text messaging, Mobile data/Internet",No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",5.92
Female,College of Humanity and Social Science,Yes,100,On-campus,Yes,Never,5,Mobile data/Internet,No,No,Insufficient data allowance,1.16
Female,College of Science,No,100,Off-campus,No,Daily,2,"SMS/Text messaging, None of the above",Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",7.44
Male,College of Humanity and Social Science,Yes,100,Off-campus,No,Several times a week,1,Mobile data/Internet,No,No,"Unsatisfactory customer service, Insufficient data allowance",5.06
Female,College of Science,Yes,300,Off-campus,Yes,Occasionally,4,Voice Calls,Yes,No,"Unsatisfactory customer service, High costs/pricing",6.92
Female,School of Business,Yes,300,Off-campus,No,Daily,3,"SMS/Text messaging, Voice Calls, Mobile data/Internet",Yes,Yes,Unsatisfactory customer service,3.87
Female,College of Art and Built Environment,Yes,100,Off-campus,No,Several times a week,1,"Voice Calls, None of the above",Yes,Yes,Unsatisfactory customer service,1.84
Female,College of Humanity and Social Science,Yes,300,On-campus,No,Daily,3,"None of the above, SMS/Text messaging, Voice Calls",No,Yes,"Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",0.87
Male,College of Art and Built Environment,Yes,100,Off-campus,No,Several times a week,1,Mobile data/Internet,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing, Poor network quality/coverage",2.75
Male,College of Science,No,200,Off-campus,Yes,Occasionally,4,"Mobile data/Internet, None of the above",Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",8.7
Male,College of Agriculture and Natural Resources,No,400,Off-campus,No,Several times a week,2,"SMS/Text messaging, None of the above",Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",4.94
Female,College of Art and Built Environment,Yes,100,Off-campus,No,Daily,1,"Mobile data/Internet, SMS/Text messaging",Yes,No,None,9.78
Female,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Daily,3,"None of the above, Mobile data/Internet",No,Yes,"Unsatisfactory customer service, High costs/pricing",6.63
Male,College of Science,Yes,300,Off-campus,No,Several times a week,5,"None of the above, Mobile data/Internet",No,Yes,"Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",1.86
Male,School of Business,Yes,200,Off-campus,No,Occasionally,2,Mobile data/Internet,No,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",9.45
Male,School of Business,No,300,Off-campus,No,Daily,1,SMS/Text messaging,Yes,No,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",4.94
Female,College of Engineering,Yes,600,Off-campus,No,Several times a week,2,"SMS/Text messaging, Mobile data/Internet, None of the above",No,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",6.57
Male,College of Science,No,100,Off-campus,No,Rarely,1,"SMS/Text messaging, Voice Calls, Mobile data/Internet, None of the above",No,No,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",6.97
Male,College of Agriculture and Natural Resources,No,400,Off-campus,No,Several times a week,6,"None of the above, SMS/Text messaging",Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",0.59
Female,School of Business,Yes,300,Off-campus,No,Several times a week,4,"Mobile data/Internet, Voice Calls",Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing, Insufficient data allowance",1.74
Male,College of Science,Yes,500,Off-campus,No,Occasionally,6,"Voice Calls, Mobile data/Internet, None of the above, SMS/Text messaging",No,Yes,Insufficient data allowance,8.15
Female,School of Business,No,400,On-campus,Yes,Several times a week,3,"SMS/Text messaging, Voice Calls, None of the above, Mobile data/Internet",No,Yes,Poor network quality/coverage,7.73
Female,School of Business,Yes,500,Off-campus,Yes,Occasionally,2,"None of the above, Mobile data/Internet, SMS/Text messaging",No,Yes,"Insufficient data allowance, High costs/pricing",9.0
Male,College of Humanity and Social Science,No,200,Off-campus,No,Never,1,"Mobile data/Internet, Voice Calls, SMS/Text messaging, None of the above",No,Yes,"High costs/pricing, Poor network quality/coverage",8.72
Female,College of Science,Yes,200,On-campus,Yes,Several times a week,4,Mobile data/Internet,No,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",2.18
Female,School of Business,Yes,200,Off-campus,No,Several times a week,1,"None of the above, Mobile data/Internet, Voice Calls",Yes,Yes,None,6.28
Female,College of Art and Built Environment,Yes,200,Off-campus,No,Occasionally,3,"SMS/Text messaging, Voice Calls, Mobile data/Internet",Yes,Yes,"High costs/pricing, Insufficient data allowance",7.61
Male,College of Humanity and Social Science,Yes,500,Off-campus,No,Occasionally,2,"Mobile data/Internet, Voice Calls",No,Yes,Poor network quality/coverage,4.72
Male,College of Art and Built Environment,No,400,Off-campus,No,Several times a week,1,"Voice Calls, None of the above",Yes,Yes,High costs/pricing,6.87
Female,College of Science,Yes,100,Off-campus,No,Daily,2,SMS/Text messaging,No,Yes,Insufficient data allowance,6.92
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,Yes,Daily,4,"SMS/Text messaging, Voice Calls",Yes,Yes,Unsatisfactory customer service,5.18
Female,College of Agriculture and Natural Resources,Yes,300,Off-campus,No,Occasionally,2,Mobile data/Internet,No,No,None,4.53
Female,College of Humanity and Social Science,Yes,300,On-campus,No,Several times a week,2,None of the above,No,Yes,Insufficient data allowance,0.74
Male,College of Engineering,Yes,600,Off-campus,No,Occasionally,4,"Mobile data/Internet, None of the above",No,No,"High costs/pricing, Unsatisfactory customer service",8.3
