Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Voice_Calls,Mobile_Data_Internet,SMS_Text_Messaging,Data_Exhaustion,Other_Networks,Poor_Network_Quality_Coverage,Insufficient_Data_Allowance,Unsatisfactory_Customer_Service,High_Costs_Pricing,Monthly_Data_Usage
Male,School of Business,Yes,600,Off-campus,Yes,Occasionally,4,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,8.96
Female,College of Engineering,Yes,300,Off-campus,No,Occasionally,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.77
Female,College of Agriculture and Natural Resources,Yes,500,Off-campus,Yes,Daily,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6.37
Male,School of Business,No,600,On-campus,Yes,Occasionally,4,Yes,Yes,Yes,No,Yes,No,No,No,No,4.2
Male,College of Engineering,No,200,Off-campus,No,Several times a week,2,Yes,Yes,No,Yes,No,No,No,No,No,8.56
Male,College of Science,Yes,200,Off-campus,No,Daily,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.54
Female,College of Humanity and Social Science,Yes,400,On-campus,No,Daily,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.18
Female,School of Business,Yes,100,Off-campus,Yes,Several times a week,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.73
Female,College of Agriculture and Natural Resources,No,400,Off-campus,No,Daily,1,Yes,Yes,Yes,Yes,Yes,No,No,No,No,6.62
Female,School of Business,No,400,Off-campus,Yes,Several times a week,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5.18
Female,College of Humanity and Social Science,No,200,Off-campus,Yes,Several times a week,5,Yes,No,Yes,Yes,Yes,No,Yes,No,No,3.38
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,Yes,Never,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.47
Male,School of Business,Yes,400,Off-campus,No,Several times a week,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.47
Male,College of Agriculture and Natural Resources,Yes,200,Off-campus,No,Several times a week,3,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,5.43
Female,College of Art and Built Environment,No,100,Off-campus,Yes,Several times a week,3,Yes,No,Yes,No,Yes,No,No,No,Yes,3.2
Female,College of Engineering,Yes,500,Off-campus,No,Several times a week,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.37
Male,College of Agriculture and Natural Resources,No,200,Off-campus,No,Daily,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5.89
Female,College of Art and Built Environment,Yes,200,Off-campus,Yes,Daily,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.29
Male,School of Business,Yes,600,Off-campus,Yes,Occasionally,2,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,0.5
Female,College of Engineering,Yes,400,On-campus,No,Occasionally,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.54
Male,College of Humanity and Social Science,Yes,400,On-campus,No,Daily,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.31
Male,College of Agriculture and Natural Resources,Yes,400,Off-campus,No,Never,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.94
Female,College of Art and Built Environment,Yes,600,Off-campus,Yes,Rarely,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5.11
Male,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Occasionally,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.28
Female,College of Humanity and Social Science,Yes,600,Off-campus,Yes,Rarely,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9.5
Male,College of Engineering,Yes,600,Off-campus,No,Daily,4,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,8.3
Female,School of Business,Yes,500,Off-campus,Yes,Daily,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.66
Female,School of Business,Yes,500,Off-campus,No,Several times a week,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.27
Male,College of Agriculture and Natural Resources,Yes,200,On-campus,Yes,Occasionally,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.21
Female,College of Humanity and Social Science,Yes,300,On-campus,No,Several times a week,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7.98
Male,College of Art and Built Environment,Yes,600,On-campus,No,Several times a week,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.37
Male,College of Engineering,Yes,400,Off-campus,Yes,Several times a week,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.7
Female,College of Art and Built Environment,Yes,600,Off-campus,Yes,Occasionally,2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9.68
Male,College of Art and Built Environment,No,300,Off-campus,Yes,Several times a week,5,Yes,Yes,Yes,Yes,No,No,No,No,No,1.51
Female,College of Science,No,300,Off-campus,No,Occasionally,3,Yes,Yes,Yes,No,No,Yes,Yes,No,No,2.97
Female,College of Engineering,Yes,300,Off-campus,Yes,Several times a week,3,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10.14
Male,College of Humanity and Social Science,No,400,Off-campus,Yes,Daily,2,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,7.43
Male,College of Agriculture and Natural Resources,Yes,100,On-campus,No,Daily,3,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,7.64
Male,College of Humanity and Social Science,Yes,400,On-campus,No,Daily,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.82
Female,College of Science,Yes,100,Off-campus,No,Several times a week,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7.74
Female,College of Art and Built Environment,Yes,600,On-campus,Yes,Several times a week,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.47
Female,College of Engineering,No,400,Off-campus,Yes,Daily,5,Yes,Yes,Yes,No,Yes,No,No,Yes,No,7.96
Female,College of Art and Built Environment,Yes,500,Off-campus,Yes,Occasionally,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,6.59
Female,College of Science,Yes,200,Off-campus,Yes,Daily,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.53
Female,School of Business,Yes,500,Off-campus,No,Daily,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.43
Male,College of Engineering,Yes,100,Off-campus,No,Daily,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.04
Male,College of Science,Yes,300,Off-campus,No,Daily,4,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,7.81
Female,School of Business,Yes,300,Off-campus,Yes,Daily,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.42
Female,College of Agriculture and Natural Resources,No,200,Off-campus,No,Daily,2,Yes,Yes,Yes,No,Yes,No,No,No,No,9.52
Female,College of Humanity and Social Science,Yes,300,Off-campus,Yes,Occasionally,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,10.26
Male,School of Business,Yes,300,Off-campus,Yes,Occasionally,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.58
Male,School of Business,No,200,Off-campus,Yes,Several times a week,5,Yes,Yes,No,No,Yes,No,No,No,Yes,5.74
Female,College of Engineering,No,500,Off-campus,Yes,Occasionally,5,Yes,Yes,Yes,No,Yes,Yes,No,No,No,4.58
Male,College of Agriculture and Natural Resources,Yes,400,Off-campus,No,Several times a week,2,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,9.6
Female,College of Humanity and Social Science,No,400,Off-campus,Yes,Occasionally,1,Yes,Yes,No,No,Yes,No,Yes,No,No,2.13
Male,College of Agriculture and Natural Resources,Yes,200,On-campus,Yes,Occasionally,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.93
Male,College of Humanity and Social Science,No,200,Off-campus,No,Several times a week,1,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,4.06
Female,College of Humanity and Social Science,No,500,On-campus,No,Daily,5,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,8.93
Male,College of Engineering,No,300,Off-campus,Yes,Several times a week,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10.27
Male,College of Humanity and Social Science,No,200,Off-campus,Yes,Occasionally,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.71
Female,School of Business,Yes,100,Off-campus,No,Daily,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.87
Female,College of Art and Built Environment,No,400,Off-campus,No,Several times a week,5,Yes,No,Yes,Yes,No,No,No,No,Yes,2.05
Male,School of Business,Yes,100,Off-campus,No,Daily,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1.25
Female,School of Business,Yes,500,On-campus,No,Several times a week,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0
Female,College of Engineering,Yes,400,On-campus,Yes,Several times a week,5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2.03
Male,College of Engineering,Yes,100,Off-campus,Yes,Daily,5,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,2.29
Male,College of Art and Built Environment,Yes,200,Off-campus,No,Occasionally,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1.26
Female,College of Engineering,Yes,500,On-campus,No,Daily,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.6
Female,School of Business,No,300,Off-campus,Yes,Never,2,Yes,Yes,No,No,Yes,Yes,No,No,Yes,3.95
Male,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Daily,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.55
Male,College of Science,No,200,On-campus,Yes,Never,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1.56
Male,College of Science,Yes,200,Off-campus,No,Never,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.78
Female,College of Engineering,Yes,600,Off-campus,No,Occasionally,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.06
Male,School of Business,Yes,100,Off-campus,Yes,Daily,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.5
Male,College of Engineering,Yes,100,On-campus,No,Never,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.92
Male,College of Art and Built Environment,Yes,400,Off-campus,Yes,Occasionally,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,5.79
Male,School of Business,Yes,200,Off-campus,No,Daily,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.4
Female,College of Agriculture and Natural Resources,No,100,Off-campus,Yes,Several times a week,5,No,Yes,Yes,No,Yes,No,Yes,No,Yes,3.41
Male,College of Agriculture and Natural Resources,No,600,Off-campus,No,Several times a week,4,Yes,No,Yes,No,Yes,No,No,Yes,Yes,4.38
Female,College of Humanity and Social Science,Yes,200,On-campus,Yes,Occasionally,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6.7
Female,College of Agriculture and Natural Resources,No,100,Off-campus,No,Occasionally,1,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2.61
Female,College of Science,Yes,200,Off-campus,No,Several times a week,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.37
Male,College of Humanity and Social Science,Yes,400,Off-campus,No,Daily,5,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.01
Female,College of Engineering,Yes,400,Off-campus,Yes,Occasionally,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.7
Male,College of Engineering,Yes,400,Off-campus,No,Several times a week,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6.15
Male,College of Science,No,300,Off-campus,No,Daily,3,No,Yes,Yes,No,Yes,No,No,Yes,Yes,8.22
Female,College of Engineering,Yes,200,On-campus,Yes,Occasionally,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,3.56
Female,College of Engineering,Yes,200,On-campus,Yes,Several times a week,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.79
Male,College of Agriculture and Natural Resources,Yes,500,Off-campus,Yes,Occasionally,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.58
Female,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Daily,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.27
Male,College of Agriculture and Natural Resources,Yes,300,Off-campus,No,Daily,1,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,8.36
Female,College of Humanity and Social Science,No,400,Off-campus,Yes,Occasionally,1,Yes,Yes,Yes,No,Yes,No,No,Yes,No,8.18
Female,College of Engineering,Yes,200,Off-campus,No,Several times a week,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.9
Male,School of Business,Yes,200,Off-campus,Yes,Rarely,2,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,4.03
Male,College of Art and Built Environment,Yes,400,Off-campus,No,Several times a week,4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.2
Female,College of Engineering,Yes,200,Off-campus,Yes,Several times a week,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.44
Female,College of Science,Yes,200,Off-campus,Yes,Several times a week,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.81
Female,College of Engineering,No,400,Off-campus,Yes,Occasionally,4,No,Yes,Yes,No,Yes,No,No,No,Yes,3.73
Female,College of Science,No,600,Off-campus,Yes,Occasionally,5,No,Yes,Yes,No,Yes,Yes,No,No,No,1.61
Female,College of Science,No,200,Off-campus,No,Rarely,3,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,6.0
Male,College of Agriculture and Natural Resources,No,300,Off-campus,Yes,Occasionally,5,No,Yes,Yes,No,Yes,No,Yes,No,No,2.47
Female,School of Business,Yes,100,Off-campus,Yes,Occasionally,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1.06
Female,College of Science,Yes,200,Off-campus,Yes,Rarely,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.38
Female,College of Agriculture and Natural Resources,Yes,200,Off-campus,No,Daily,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.71
Male,College of Engineering,Yes,300,Off-campus,Yes,Occasionally,4,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,6.63
Female,School of Business,Yes,200,Off-campus,No,Occasionally,1,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.69
Female,College of Humanity and Social Science,No,200,Off-campus,Yes,Occasionally,5,Yes,No,No,No,Yes,Yes,No,Yes,No,1.86
Male,College of Engineering,Yes,100,Off-campus,No,Several times a week,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.16
Male,School of Business,No,100,On-campus,Yes,Daily,2,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,2.19
Female,College of Art and Built Environment,No,100,Off-campus,No,Occasionally,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,5.44
Male,College of Art and Built Environment,Yes,400,On-campus,Yes,Occasionally,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.5
Male,College of Engineering,No,300,Off-campus,No,Occasionally,2,Yes,No,Yes,No,Yes,Yes,No,No,No,3.46
Male,College of Engineering,Yes,400,Off-campus,No,Never,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.36
Male,College of Engineering,Yes,200,Off-campus,Yes,Daily,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.03
Female,College of Art and Built Environment,Yes,200,Off-campus,No,Daily,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9.56
Female,College of Engineering,Yes,100,Off-campus,Yes,Several times a week,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.22
Male,College of Science,Yes,500,On-campus,No,Daily,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,6.73
Female,College of Science,No,400,Off-campus,No,Several times a week,5,Yes,Yes,Yes,No,Yes,No,No,No,No,3.73
Female,College of Art and Built Environment,Yes,200,Off-campus,No,Several times a week,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9.2
Male,School of Business,Yes,400,Off-campus,Yes,Several times a week,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.98
Male,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Occasionally,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9.66
Female,College of Agriculture and Natural Resources,Yes,300,Off-campus,No,Daily,4,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3.26
