Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Data_Exhaustion,Other_Networks,Reasons_Discontinue,Monthly_Data_Usage, Mobile data/Internet, SMS/Text messaging, Voice Calls,Mobile data/Internet,None of the above,SMS/Text messaging,Voice Calls
Male,College of Engineering,Yes,200,On-campus,Yes,Daily,2,Yes,Yes,"High costs/pricing, Unsatisfactory customer service",1.0,0,0,0,0,1,0,0
Male,College of Science,Yes,300,Off-campus,No,Daily,1,No,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",2.13,0,0,0,0,0,0,1
Male,College of Engineering,No,100,Off-campus,Yes,Several times a week,5,Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",1.22,0,0,0,0,1,0,0
Male,College of Science,Yes,200,Off-campus,No,Several times a week,4,No,No,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",5.12,0,1,1,1,0,0,0
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,Yes,Rarely,4,Yes,Yes,None,0.8,0,0,0,0,1,0,0
Female,College of Art and Built Environment,No,200,Off-campus,Yes,Daily,3,Yes,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",9.48,0,0,0,0,1,0,0
Male,College of Art and Built Environment,No,300,Off-campus,No,Several times a week,4,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing, Insufficient data allowance",9.88,0,0,0,0,0,0,1
Female,College of Science,Yes,400,Off-campus,No,Several times a week,3,Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service",0.71,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,600,Off-campus,No,Daily,2,Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service",6.7,0,0,0,0,0,1,0
Male,College of Science,Yes,200,Off-campus,No,Daily,1,Yes,Yes,High costs/pricing,9.2,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,100,Off-campus,No,Never,4,Yes,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",7.77,0,0,0,0,1,0,0
Female,College of Art and Built Environment,No,100,Off-campus,No,Several times a week,6,Yes,Yes,None,0.94,0,0,0,1,0,0,0
Male,College of Humanity and Social Science,No,300,Off-campus,Yes,Occasionally,1,No,Yes,"Unsatisfactory customer service, Insufficient data allowance",7.27,0,0,0,0,0,1,0
Male,School of Business,Yes,600,On-campus,No,Occasionally,2,Yes,Yes,Insufficient data allowance,1.11,0,0,0,0,1,0,0
Male,College of Engineering,Yes,500,Off-campus,No,Daily,2,No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",4.26,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,Yes,300,Off-campus,Yes,Daily,3,Yes,Yes,High costs/pricing,4.87,1,0,1,0,0,1,0
Female,College of Art and Built Environment,Yes,100,On-campus,No,Occasionally,1,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage",1.47,0,0,0,0,1,0,0
Male,College of Art and Built Environment,Yes,300,Off-campus,Yes,Occasionally,3,Yes,Yes,"High costs/pricing, Poor network quality/coverage",6.69,0,0,0,0,1,0,0
Male,College of Science,No,400,Off-campus,Yes,Several times a week,1,No,Yes,High costs/pricing,0.55,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,300,Off-campus,Yes,Daily,1,No,Yes,Poor network quality/coverage,5.4,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,No,400,On-campus,No,Several times a week,3,Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service",5.62,0,0,0,0,0,1,0
Male,School of Business,No,200,Off-campus,No,Daily,4,No,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",6.78,0,0,0,0,1,0,0
Female,College of Science,Yes,600,Off-campus,Yes,Several times a week,3,No,Yes,"High costs/pricing, Poor network quality/coverage, Insufficient data allowance",8.93,0,0,0,0,1,0,0
Male,School of Business,Yes,600,On-campus,No,Daily,5,No,Yes,"High costs/pricing, Unsatisfactory customer service",2.72,0,0,0,0,1,0,0
Male,School of Business,No,500,On-campus,Yes,Several times a week,1,No,Yes,Insufficient data allowance,9.19,0,0,0,0,1,0,0
Female,School of Business,No,200,On-campus,No,Occasionally,3,Yes,Yes,None,4.16,0,0,0,0,1,0,0
Male,College of Engineering,Yes,100,On-campus,No,Occasionally,5,Yes,Yes,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance, Poor network quality/coverage",5.62,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Never,2,No,No,Poor network quality/coverage,4.69,0,0,0,0,1,0,0
Male,College of Agriculture and Natural Resources,Yes,600,On-campus,No,Daily,2,Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",5.2,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Daily,6,Yes,Yes,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",10.02,1,0,0,0,0,0,1
Male,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Occasionally,1,No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing",0.82,0,0,0,0,1,0,0
Male,College of Agriculture and Natural Resources,Yes,200,On-campus,Yes,Several times a week,2,Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",3.01,0,0,0,0,1,0,0
Male,College of Art and Built Environment,Yes,200,Off-campus,Yes,Occasionally,2,Yes,Yes,Poor network quality/coverage,5.64,0,0,0,0,0,1,0
Male,College of Agriculture and Natural Resources,Yes,500,Off-campus,No,Daily,1,Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",6.63,0,0,0,0,1,0,0
Male,College of Science,Yes,200,Off-campus,No,Daily,5,Yes,Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance",4.87,0,1,0,0,0,0,1
Female,College of Science,Yes,400,Off-campus,Yes,Several times a week,6,Yes,Yes,Insufficient data allowance,8.01,0,0,0,0,1,0,0
Female,College of Science,Yes,300,Off-campus,No,Several times a week,1,Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing, Insufficient data allowance",6.04,0,0,0,0,1,0,0
Male,School of Business,Yes,100,Off-campus,Yes,Occasionally,4,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",7.59,0,0,0,0,0,0,1
Male,College of Humanity and Social Science,Yes,100,Off-campus,Yes,Several times a week,1,Yes,Yes,Poor network quality/coverage,1.89,0,1,0,1,0,0,0
Female,College of Science,No,600,Off-campus,No,Rarely,3,Yes,Yes,Poor network quality/coverage,7.98,0,0,0,0,1,0,0
Male,College of Engineering,Yes,400,Off-campus,Yes,Daily,5,No,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",4.42,0,0,0,0,1,0,0
Male,College of Science,Yes,300,Off-campus,No,Daily,4,No,Yes,Insufficient data allowance,5.14,0,0,0,0,1,0,0
Male,College of Science,No,600,Off-campus,No,Several times a week,3,No,Yes,"High costs/pricing, Poor network quality/coverage",3.38,0,0,0,0,1,0,0
Male,College of Agriculture and Natural Resources,No,100,Off-campus,Yes,Occasionally,4,Yes,Yes,Insufficient data allowance,8.75,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,No,400,Off-campus,No,Occasionally,1,No,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",4.01,0,0,0,0,1,0,0
Male,School of Business,Yes,400,Off-campus,No,Occasionally,4,No,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",3.48,0,0,0,0,1,0,0
Male,College of Agriculture and Natural Resources,No,400,On-campus,Yes,Several times a week,4,Yes,Yes,Poor network quality/coverage,4.68,1,1,0,0,0,0,1
Male,College of Humanity and Social Science,No,400,Off-campus,No,Daily,5,No,No,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",8.46,0,0,0,0,1,0,0
Male,College of Engineering,No,500,Off-campus,Yes,Several times a week,1,No,No,Insufficient data allowance,1.93,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,300,Off-campus,No,Occasionally,4,No,Yes,High costs/pricing,6.38,0,0,0,0,1,0,0
Female,College of Science,Yes,300,Off-campus,Yes,Occasionally,3,No,No,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance, Poor network quality/coverage",9.04,1,1,0,0,0,0,1
Male,College of Art and Built Environment,No,100,Off-campus,Yes,Several times a week,4,Yes,Yes,"Poor network quality/coverage, High costs/pricing",4.2,0,0,0,0,1,0,0
Male,College of Engineering,Yes,600,Off-campus,Yes,Daily,5,No,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",0.87,0,0,0,0,0,1,0
Female,School of Business,No,500,Off-campus,Yes,Occasionally,4,No,Yes,Insufficient data allowance,6.58,0,0,0,0,1,0,0
Male,College of Art and Built Environment,No,400,Off-campus,No,Daily,1,Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service",6.98,0,0,0,1,0,0,0
Male,College of Engineering,Yes,600,Off-campus,Yes,Daily,4,No,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage, High costs/pricing",9.26,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,No,600,Off-campus,Yes,Several times a week,3,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance, High costs/pricing",2.59,0,0,0,0,0,1,0
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,Yes,Daily,6,No,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",9.32,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Daily,2,No,Yes,Unsatisfactory customer service,0.85,0,0,0,1,0,0,0
Female,School of Business,Yes,600,On-campus,No,Several times a week,5,Yes,Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",1.39,0,0,0,0,1,0,0
Male,College of Art and Built Environment,Yes,200,On-campus,Yes,Several times a week,4,Yes,Yes,Unsatisfactory customer service,1.35,1,0,1,0,0,1,0
Female,School of Business,Yes,300,Off-campus,Yes,Occasionally,5,Yes,Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage",8.09,0,0,0,0,0,1,0
Male,School of Business,Yes,200,Off-campus,Yes,Several times a week,3,No,Yes,"High costs/pricing, Unsatisfactory customer service",5.66,0,0,0,0,1,0,0
Female,School of Business,Yes,300,Off-campus,Yes,Never,2,No,Yes,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance",3.14,0,0,0,0,1,0,0
Female,College of Art and Built Environment,Yes,500,On-campus,Yes,Several times a week,3,No,Yes,"Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",6.23,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,600,Off-campus,Yes,Daily,2,No,Yes,High costs/pricing,4.57,0,1,0,1,0,0,0
Male,College of Science,No,400,Off-campus,Yes,Several times a week,4,No,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing, Poor network quality/coverage",9.66,0,0,0,0,1,0,0
Female,College of Art and Built Environment,No,500,On-campus,No,Occasionally,5,Yes,Yes,"Insufficient data allowance, High costs/pricing",5.01,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,No,100,Off-campus,No,Several times a week,1,No,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",1.28,0,0,0,0,0,1,0
Female,School of Business,Yes,600,Off-campus,No,Occasionally,3,No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",9.44,0,0,0,0,0,0,1
Male,College of Science,Yes,100,Off-campus,No,Daily,4,Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",8.06,0,0,0,0,1,0,0
Female,College of Art and Built Environment,No,400,Off-campus,No,Rarely,2,Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",1.93,0,1,0,0,0,0,1
Male,College of Humanity and Social Science,No,100,Off-campus,Yes,Several times a week,2,No,Yes,None,8.18,0,0,0,0,0,0,1
Female,College of Science,Yes,200,Off-campus,Yes,Occasionally,3,Yes,Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage",6.2,0,0,0,0,1,0,0
Female,College of Engineering,No,600,Off-campus,Yes,Several times a week,3,Yes,Yes,"Poor network quality/coverage, Insufficient data allowance",3.25,0,0,0,0,0,1,0
Female,College of Agriculture and Natural Resources,No,100,Off-campus,No,Daily,2,Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",9.49,0,0,0,0,0,0,1
Male,College of Engineering,No,400,On-campus,No,Several times a week,5,Yes,Yes,High costs/pricing,9.12,0,0,0,0,1,0,0
Female,College of Engineering,Yes,500,Off-campus,Yes,Occasionally,2,No,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",4.69,0,0,0,0,1,0,0
Female,College of Art and Built Environment,No,300,Off-campus,Yes,Daily,4,No,Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",6.83,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,Yes,100,On-campus,No,Rarely,1,Yes,Yes,High costs/pricing,1.41,0,0,0,0,1,0,0
Female,School of Business,Yes,300,Off-campus,Yes,Daily,1,No,Yes,"Unsatisfactory customer service, Poor network quality/coverage",2.66,0,0,0,0,1,0,0
Male,School of Business,Yes,200,Off-campus,No,Daily,2,Yes,Yes,None,1.91,1,0,0,0,0,0,1
Female,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Daily,3,Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",2.9,0,0,0,0,1,0,0
Male,School of Business,Yes,600,Off-campus,Yes,Daily,3,Yes,No,"Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",2.74,1,1,0,0,0,0,1
Female,College of Science,No,400,On-campus,No,Occasionally,2,No,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",8.41,0,0,0,0,0,0,1
Male,College of Humanity and Social Science,Yes,300,On-campus,No,Occasionally,5,Yes,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",9.36,0,1,0,0,0,0,1
Female,College of Engineering,Yes,200,On-campus,Yes,Daily,1,No,Yes,Unsatisfactory customer service,5.6,1,0,0,0,0,0,1
Male,College of Humanity and Social Science,Yes,300,Off-campus,No,Several times a week,6,Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",5.72,0,0,0,0,0,1,0
Female,College of Engineering,Yes,100,Off-campus,Yes,Daily,3,Yes,Yes,Poor network quality/coverage,4.35,0,0,0,0,1,0,0
Male,College of Engineering,Yes,500,Off-campus,Yes,Occasionally,4,No,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",2.1,0,0,0,0,1,0,0
Female,College of Art and Built Environment,Yes,400,Off-campus,Yes,Daily,1,Yes,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",7.66,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,Yes,200,Off-campus,Yes,Rarely,5,No,Yes,"Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",8.26,0,0,0,0,1,0,0
Male,College of Science,Yes,400,On-campus,Yes,Several times a week,2,No,Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",5.92,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,100,On-campus,Yes,Never,5,No,No,Insufficient data allowance,1.16,0,0,0,1,0,0,0
Female,College of Science,No,100,Off-campus,No,Daily,2,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",7.44,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,Yes,100,Off-campus,No,Several times a week,1,No,No,"Unsatisfactory customer service, Insufficient data allowance",5.06,0,0,0,1,0,0,0
Female,College of Science,Yes,300,Off-campus,Yes,Occasionally,4,Yes,No,"Unsatisfactory customer service, High costs/pricing",6.92,0,0,0,0,0,0,1
Female,School of Business,Yes,300,Off-campus,No,Daily,3,Yes,Yes,Unsatisfactory customer service,3.87,1,0,1,0,0,1,0
Female,College of Art and Built Environment,Yes,100,Off-campus,No,Several times a week,1,Yes,Yes,Unsatisfactory customer service,1.84,0,0,0,0,1,0,0
Female,College of Humanity and Social Science,Yes,300,On-campus,No,Daily,3,No,Yes,"Poor network quality/coverage, Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",0.87,0,0,0,0,1,0,0
Male,College of Art and Built Environment,Yes,100,Off-campus,No,Several times a week,1,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing, Poor network quality/coverage",2.75,0,0,0,1,0,0,0
Male,College of Science,No,200,Off-campus,Yes,Occasionally,4,Yes,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing",8.7,0,0,0,0,1,0,0
Male,College of Agriculture and Natural Resources,No,400,Off-campus,No,Several times a week,2,Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",4.94,0,0,0,0,1,0,0
Female,College of Art and Built Environment,Yes,100,Off-campus,No,Daily,1,Yes,No,None,9.78,0,1,0,1,0,0,0
Female,College of Agriculture and Natural Resources,Yes,100,Off-campus,Yes,Daily,3,No,Yes,"Unsatisfactory customer service, High costs/pricing",6.63,0,0,0,0,1,0,0
Male,College of Science,Yes,300,Off-campus,No,Several times a week,5,No,Yes,"Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",1.86,0,0,0,0,1,0,0
Male,School of Business,Yes,200,Off-campus,No,Occasionally,2,No,Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",9.45,0,0,0,1,0,0,0
Male,School of Business,No,300,Off-campus,No,Daily,1,Yes,No,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",4.94,0,0,0,0,0,1,0
Female,College of Engineering,Yes,600,Off-campus,No,Several times a week,2,No,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",6.57,0,0,0,0,1,0,0
Male,College of Science,No,100,Off-campus,No,Rarely,1,No,No,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",6.97,0,0,0,0,1,0,0
Male,College of Agriculture and Natural Resources,No,400,Off-campus,No,Several times a week,6,Yes,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",0.59,0,0,0,0,1,0,0
Female,School of Business,Yes,300,Off-campus,No,Several times a week,4,Yes,Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing, Insufficient data allowance",1.74,0,0,1,1,0,0,0
Male,College of Science,Yes,500,Off-campus,No,Occasionally,6,No,Yes,Insufficient data allowance,8.15,0,0,0,0,1,0,0
Female,School of Business,No,400,On-campus,Yes,Several times a week,3,No,Yes,Poor network quality/coverage,7.73,0,0,0,0,1,0,0
Female,School of Business,Yes,500,Off-campus,Yes,Occasionally,2,No,Yes,"Insufficient data allowance, High costs/pricing",9.0,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,No,200,Off-campus,No,Never,1,No,Yes,"High costs/pricing, Poor network quality/coverage",8.72,0,0,0,0,1,0,0
Female,College of Science,Yes,200,On-campus,Yes,Several times a week,4,No,Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",2.18,0,0,0,1,0,0,0
Female,School of Business,Yes,200,Off-campus,No,Several times a week,1,Yes,Yes,None,6.28,0,0,0,0,1,0,0
Female,College of Art and Built Environment,Yes,200,Off-campus,No,Occasionally,3,Yes,Yes,"High costs/pricing, Insufficient data allowance",7.61,1,0,1,0,0,1,0
Male,College of Humanity and Social Science,Yes,500,Off-campus,No,Occasionally,2,No,Yes,Poor network quality/coverage,4.72,0,0,1,1,0,0,0
Male,College of Art and Built Environment,No,400,Off-campus,No,Several times a week,1,Yes,Yes,High costs/pricing,6.87,0,0,0,0,1,0,0
Female,College of Science,Yes,100,Off-campus,No,Daily,2,No,Yes,Insufficient data allowance,6.92,0,0,0,0,0,1,0
Female,College of Agriculture and Natural Resources,Yes,400,Off-campus,Yes,Daily,4,Yes,Yes,Unsatisfactory customer service,5.18,0,0,1,0,0,1,0
Female,College of Agriculture and Natural Resources,Yes,300,Off-campus,No,Occasionally,2,No,No,None,4.53,0,0,0,1,0,0,0
Female,College of Humanity and Social Science,Yes,300,On-campus,No,Several times a week,2,No,Yes,Insufficient data allowance,0.74,0,0,0,0,1,0,0
Male,College of Engineering,Yes,600,Off-campus,No,Occasionally,4,No,No,"High costs/pricing, Unsatisfactory customer service",8.3,0,0,0,0,1,0,0
Female,College of Engineering,Yes,400,Off-campus,No,Daily,1,No,Yes,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",9.02,0,0,0,0,0,0,1
Male,College of Art and Built Environment,Yes,100,Off-campus,No,Daily,1,No,No,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance",4.15,0,0,1,0,0,1,0
Male,College of Engineering,Yes,100,On-campus,Yes,Daily,4,Yes,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",8.76,1,0,0,0,0,0,1
Male,College of Science,Yes,200,Off-campus,No,Several times a week,1,No,No,Unsatisfactory customer service,7.31,0,0,0,0,1,0,0
Male,College of Science,Yes,300,Off-campus,Yes,Daily,1,No,Yes,"High costs/pricing, Unsatisfactory customer service",1.45,0,0,0,0,1,0,0
Male,College of Humanity and Social Science,Yes,100,Off-campus,No,Occasionally,4,Yes,Yes,Insufficient data allowance,4.52,0,0,0,0,1,0,0
Female,School of Business,No,100,Off-campus,Yes,Occasionally,2,Yes,Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",5.16,0,1,0,1,0,0,0
Female,College of Humanity and Social Science,Yes,400,Off-campus,Yes,Occasionally,5,No,Yes,Unsatisfactory customer service,3.14,0,0,0,1,0,0,0
Female,College of Science,Yes,300,Off-campus,No,Daily,2,No,No,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",1.27,0,0,0,0,1,0,0
Female,College of Engineering,Yes,300,On-campus,No,Several times a week,2,Yes,No,"High costs/pricing, Poor network quality/coverage",5.27,0,0,0,0,0,0,1
