Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Services_Used,Data_Exhaustion,Other_Networks,Use_Other_More,Reasons_Other,Consider_Discontinue,Reasons_Discontinue,Additional_Feedback
Female,College of Engineering,Yes,Level 600,Off-campus,No,Occasionally,1,Voice Calls,No,AirtelTigo,True,More affordable plans/pricing,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",uLqRhSo5ZeI4XnNQQpd16ZSbzsOIYWAvP6zzpZHXrAS7m1Im3RfywxmHncUHC0Q3C6q
Male,College of Engineering,Yes,Level 100,On-campus,Yes,Daily,4,"SMS/Text messaging, Mobile data/Internet, Voice Calls",No,"Glo, AirtelTigo",True,"Better network coverage/signal strength, Faster internet speeds, Better customer service",No,"Insufficient data allowance, High costs/pricing",1gkG2Ibj1ag4MqvQr3DlrpVXYI505GlJI5jjJqo2iNpThiRinXiqmPLVN3pteTYxMgC2Re
Male,College of Engineering,Yes,Level 500,Off-campus,No,Daily,1,"SMS/Text messaging, Mobile data/Internet, Voice Calls, None of the above",Yes,"MTN, Glo, AirtelTigo",True,"Better customer service, Better network coverage/signal strength, Faster internet speeds",No,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",hCSHnyOlB4iNAoLzaAWygNpQk4erk80p5bgH7HUSf1banW7XFITex7aqz0
Female,College of Engineering,No,Level 100,Off-campus,Yes,Occasionally,1,"Mobile data/Internet, SMS/Text messaging, Voice Calls",Yes,MTN,False,"Better network coverage/signal strength, More affordable plans/pricing, Faster internet speeds",Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing, Insufficient data allowance",GPhxTe6q35OjUQ69bhigJaGUoI0xCbATSqkNmHiBUijmDqPMmVvTA70HKoiPykW
Female,College of Engineering,No,Level 100,Off-campus,Yes,Occasionally,4,None of the above,Yes,MTN,False,More affordable plans/pricing,No,"Insufficient data allowance, High costs/pricing",PkSdsK5nbRGWx4xGX3yLPXbYZ
Male,College of Engineering,Yes,Level 100,On-campus,No,Daily,2,"Mobile data/Internet, None of the above, SMS/Text messaging, Voice Calls",Yes,MTN,True,"Better network coverage/signal strength, Faster internet speeds",Yes,"Unsatisfactory customer service, Insufficient data allowance",AP0ylR0ViGTEIv1khffdLyguZNXcACIJWgpS4c3O
Female,College of Engineering,No,Level 200,Off-campus,No,Rarely,5,"None of the above, SMS/Text messaging",Yes,"MTN, Glo, AirtelTigo",False,"Faster internet speeds, Better network coverage/signal strength, More affordable plans/pricing",Yes,"Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",2QXDZkWK0u70wIzO9NAd2kPqxYbsz3wOhwdLspVnxh4iMeZyBM7hLhO9u9u57
Female,College of Engineering,No,Level 200,Off-campus,No,Rarely,2,SMS/Text messaging,Yes,AirtelTigo,False,More affordable plans/pricing,No,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",r5pPkNlH8A9LDUHjwBl6AAgqu2kPlLYNj2dyAh1q4yJyoscTstovAA1QRdFqxwD0wcdGfuUvbnTDE0SZte56wOvu5s8e30I
Female,College of Engineering,No,Level 200,On-campus,No,Daily,1,"SMS/Text messaging, Mobile data/Internet",No,"AirtelTigo, Glo",False,Better network coverage/signal strength,Yes,"High costs/pricing, Poor network quality/coverage",ArZQsZMFxa1ZoZfVNRDIsF9A2K
Male,College of Engineering,Yes,Level 300,On-campus,Yes,Several times a week,3,"Mobile data/Internet, None of the above, Voice Calls, SMS/Text messaging",No,"AirtelTigo, MTN, Glo",True,"Better network coverage/signal strength, Faster internet speeds, Better customer service",No,Unsatisfactory customer service,MeaVnHFQm2wLBhfR7ClClRifO74fNURaWuWLsANSg0VxSHtV0Q8noMoZy8oFK0
Female,College of Engineering,Yes,Level 100,On-campus,No,Never,4,"Mobile data/Internet, None of the above",Yes,"MTN, Glo",False,"Better customer service, More affordable plans/pricing, Faster internet speeds",Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",wEIoYPGg5tybmU49pYyQ7gdwyARCipK2gATWUtGy51Q4JxUkAsiCXGz6M4VunrkIb1uBIK27J8HOWv
Female,College of Engineering,Yes,Level 100,Off-campus,No,Several times a week,1,SMS/Text messaging,Yes,AirtelTigo,True,"Faster internet speeds, Better customer service, Better network coverage/signal strength",No,"High costs/pricing, Poor network quality/coverage",p2TIHlBoIwAiITvQ8GBHgy7Sq9L
Male,College of Engineering,Yes,Level 100,On-campus,No,Never,1,Mobile data/Internet,No,"Glo, MTN, AirtelTigo",False,"Better network coverage/signal strength, Faster internet speeds",Yes,"Poor network quality/coverage, Unsatisfactory customer service",kuG2PCIqK9dzytIwwUFUH7Gw5FCaacz3h
Male,College of Engineering,No,Level 600,On-campus,No,Occasionally,2,"SMS/Text messaging, Mobile data/Internet, Voice Calls, None of the above",No,"Glo, MTN",False,Better customer service,No,Poor network quality/coverage,Ylqx1xVkixUHvMf4qIukrRgsZdhbkjK0eybGDeEx3H7PXni5952VzNrN1P8h7hjNCDY
Male,College of Engineering,Yes,Level 100,Off-campus,Yes,Never,4,"SMS/Text messaging, Voice Calls, Mobile data/Internet, None of the above",Yes,"Glo, MTN, AirtelTigo",True,Better customer service,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",GMTAsWDRysWvGmrg8qvjIUApDPXDbflEbviDY7DYrOl
Male,College of Engineering,Yes,Level 400,On-campus,No,Rarely,5,"Mobile data/Internet, Voice Calls",Yes,"AirtelTigo, Glo",True,"More affordable plans/pricing, Faster internet speeds, Better customer service, Better network coverage/signal strength",Yes,"Insufficient data allowance, Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service",MPDbsqm2abxiA7gcNoKkSTsP5pAwoyMPVMU
Female,College of Engineering,Yes,Level 100,On-campus,Yes,Daily,2,SMS/Text messaging,Yes,AirtelTigo,True,"More affordable plans/pricing, Better customer service, Better network coverage/signal strength, Faster internet speeds",Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",hm6VDtjewljYW4wUmDDuHCQ6
Male,College of Engineering,No,Level 500,Off-campus,No,Rarely,2,"Mobile data/Internet, Voice Calls, None of the above",No,Glo,False,"Faster internet speeds, More affordable plans/pricing",No,"High costs/pricing, Insufficient data allowance",rLOvoXzZuLjCew8y3dzIGTZMwex282N3MKlN57VbcODCDNDhxdFFeoFWPbwd5
Female,College of Engineering,No,Level 200,Off-campus,Yes,Never,1,"Mobile data/Internet, None of the above, Voice Calls, SMS/Text messaging",Yes,"AirtelTigo, Glo",False,"More affordable plans/pricing, Faster internet speeds, Better customer service",No,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",200I0yRj7KaxC8ON7h5ycPyKeS6Y21qxi4l3
Female,College of Engineering,No,Level 400,Off-campus,Yes,Occasionally,4,"Mobile data/Internet, SMS/Text messaging, Voice Calls",Yes,"Glo, AirtelTigo, MTN",True,More affordable plans/pricing,Yes,"Unsatisfactory customer service, High costs/pricing",sw5Z1VwWfsQvweezV8rWqk4Ur1fl8UwOx2ZQo7J2MKoZfwpTOLME67TwltZo2qrRZuYUEkZFJgM
Male,College of Engineering,Yes,Level 400,On-campus,No,Rarely,3,"Voice Calls, Mobile data/Internet, None of the above",Yes,Glo,False,"Better customer service, Better network coverage/signal strength",Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",TMwV2FsRe5RpMlxu3U0ryy6faSZsX1lAVVSKO9tl7IaSxXR7swzxIM
Male,College of Engineering,No,Level 300,On-campus,Yes,Daily,5,"None of the above, Mobile data/Internet, Voice Calls",No,"MTN, Glo, AirtelTigo",True,More affordable plans/pricing,Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",lUAGuMZPdtLInmFNbJWcGZhuPUqS1yE8smetH
Male,College of Engineering,Yes,Level 500,On-campus,No,Daily,2,"Mobile data/Internet, Voice Calls, None of the above",Yes,MTN,True,"Better network coverage/signal strength, Better customer service",No,"High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",YXXp5h7QN2iNR4Oc8DH1YCnK8TpRbaP8IWPbOoIhZSggHIqK05Z2twZrFVHiZqPqY6hd4CQC
Male,College of Engineering,No,Level 600,Off-campus,No,Never,5,"Mobile data/Internet, SMS/Text messaging, None of the above",No,Glo,True,Faster internet speeds,Yes,"Poor network quality/coverage, High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",MsZNP8boFX3nuysd20f9D0npia6XGKw
Female,College of Engineering,Yes,Level 300,On-campus,Yes,Never,2,"Voice Calls, SMS/Text messaging",Yes,"Glo, MTN",True,Better customer service,No,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",eBKsz3rdvjWBaKzopeMEYCSMkpjD0jNQDNLG0GjAu1L4apQa
Female,College of Engineering,No,Level 300,On-campus,Yes,Rarely,4,Mobile data/Internet,Yes,MTN,False,Better customer service,No,"Unsatisfactory customer service, Poor network quality/coverage",OCZV3JWFAumV5tTTZfBeb
Female,College of Engineering,No,Level 500,Off-campus,Yes,Never,4,"Mobile data/Internet, None of the above, SMS/Text messaging",No,"Glo, AirtelTigo, MTN",False,"Faster internet speeds, Better customer service, More affordable plans/pricing",Yes,Insufficient data allowance,0jDBKzzGFqUmS1oUr8VzMqNSIU0ted4fLtkWhKRDbkv9E
Male,College of Engineering,Yes,Level 200,On-campus,Yes,Never,4,Voice Calls,No,AirtelTigo,False,"Better customer service, Faster internet speeds",No,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",2pwQ0mnqPfmpqMQu0hZo
Female,College of Engineering,Yes,Level 100,Off-campus,No,Rarely,2,SMS/Text messaging,No,MTN,True,Better network coverage/signal strength,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",iy65pNoF6ksXlSoSV3to52QLv4FpnVGNsKqF7EgTuefu1VDo592HM4sG5cnadP6YwiL7guBpmbxqSyB
Male,College of Engineering,No,Level 100,On-campus,No,Daily,5,SMS/Text messaging,No,AirtelTigo,True,"Better network coverage/signal strength, Faster internet speeds",No,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance, High costs/pricing",O0XrncUMdV3cu79XacXz0nzWEDO30FLUcFKrHleapKGaU2k2sRhkeGb3hdtmRHXnITCu0M4l0KUA02HXaZUqQvnWuuuqZPuCD
Male,College of Engineering,Yes,Level 500,Off-campus,No,Daily,3,"SMS/Text messaging, Mobile data/Internet",Yes,"AirtelTigo, MTN, Glo",False,"Better network coverage/signal strength, Faster internet speeds, More affordable plans/pricing, Better customer service",No,"Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage, Insufficient data allowance",J8xrHNNL1KmKaFpZaPCj2183dkkcxlcp2Byy3I7ifvl8bKmgZR5p55ap36ED2Z8JXszfjprPGbGNu62ZMBRmzF
Female,College of Engineering,No,Level 300,Off-campus,No,Never,1,SMS/Text messaging,No,AirtelTigo,False,"More affordable plans/pricing, Better network coverage/signal strength, Better customer service",Yes,"Poor network quality/coverage, Unsatisfactory customer service, Insufficient data allowance",RXcj2Gt0X5eUYsiO48Mun1GnMYZQgdWIawX
Male,College of Engineering,Yes,Level 100,On-campus,No,Rarely,3,"None of the above, Mobile data/Internet",No,AirtelTigo,False,"More affordable plans/pricing, Better customer service, Better network coverage/signal strength",No,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",rEC4sG0wu18pTewX6i6IMWc1qEVHY8GGNx84gQeR6LUO0N6UqvVtANne11uRvnbjRFQ8PYudutq
Male,College of Engineering,Yes,Level 600,On-campus,Yes,Occasionally,3,Mobile data/Internet,Yes,"MTN, Glo",True,"Faster internet speeds, More affordable plans/pricing, Better network coverage/signal strength, Better customer service",No,"Poor network quality/coverage, Unsatisfactory customer service",BBNvCKVevsVze9M1XHUKkXRwUHB2rNjOWm9M5XDpnlnTBU18BRnZfeaHFvnQ1a5tRLU6iLUdowFiltLPjMaqCfKXPLXY1R3FZ
Female,College of Engineering,Yes,Level 600,On-campus,Yes,Never,5,"Voice Calls, Mobile data/Internet, SMS/Text messaging, None of the above",Yes,"AirtelTigo, Glo",True,"More affordable plans/pricing, Faster internet speeds, Better network coverage/signal strength, Better customer service",No,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",lZRzrk23NntxfR2sl3uTilZC0AVEYWx6bfZ4LckQM37MDwEcC1qFtDmorSfxKeuu5hPZB2xVtZmTOfafuSAILcBgpv5qY43bzI3
Male,College of Engineering,Yes,Level 100,Off-campus,Yes,Rarely,1,Voice Calls,Yes,Glo,False,"Better network coverage/signal strength, Better customer service, Faster internet speeds, More affordable plans/pricing",Yes,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",cNYmxFvP0OFk9gc0TmYIKqNZcfSN0tLVLQQmqGjacj7SvleFRh45JojZN2EbwUAbrHT9imivM
Female,College of Engineering,No,Level 500,Off-campus,No,Several times a week,3,"Mobile data/Internet, SMS/Text messaging, None of the above",No,"MTN, Glo",True,Faster internet speeds,No,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing",vQDIJUQcZ3PIQkbuopC7mBo6oOtVLC5VI7lLFfKurUiGP4xYwLOpMimXZdqNF8q0YXpyIzL3FbSandn
Female,College of Engineering,No,Level 200,Off-campus,Yes,Never,3,"None of the above, Voice Calls, SMS/Text messaging",Yes,MTN,True,Better network coverage/signal strength,No,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",RAYKDpVYV4YfpF50dM0YugLDqTzltnHrWdFNWxr6l4N3KNpEcuGD972Zf2qQczhVfGt8toNlFCJScNf50Mv3SvL0NrXc
Male,College of Engineering,Yes,Level 500,On-campus,Yes,Daily,2,None of the above,Yes,Glo,True,"Faster internet speeds, Better customer service, More affordable plans/pricing",No,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",gh6WBngX7dNW8VRXS6RccIBiEHoRJUNBXKnZamYDTdUnuza8zdF8VvFzp96dhCxntb6oRFrEpNNJSh
Male,College of Engineering,No,Level 500,Off-campus,No,Occasionally,1,"None of the above, Voice Calls, SMS/Text messaging",Yes,"MTN, Glo, AirtelTigo",False,"Better network coverage/signal strength, Better customer service",Yes,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",39j9nWgrU6JAvSI4jP2oyXyEkCSDlSM5JPmurLs3PsPOvS9DQurHPRz2vOMNfvrT9UJEQXOcdLWmrxuFv3e
Female,College of Engineering,Yes,Level 100,On-campus,Yes,Never,2,"SMS/Text messaging, Mobile data/Internet",Yes,"MTN, Glo, AirtelTigo",True,"Better network coverage/signal strength, Faster internet speeds",No,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",ME0bM8jb0YEYN2OsOyr2iKA2NCZxcToRK9WK8L4MQsINLOfeOoKOd
Female,College of Engineering,Yes,Level 600,On-campus,Yes,Daily,3,Voice Calls,No,"MTN, Glo",True,"Faster internet speeds, Better network coverage/signal strength, Better customer service",No,Insufficient data allowance,xHjK50kt26TpBiCSBWW77OgoBAuBMIn3ASDMTvPIUOgrQd
Female,College of Engineering,Yes,Level 400,Off-campus,Yes,Rarely,2,"Voice Calls, Mobile data/Internet",Yes,"AirtelTigo, MTN, Glo",False,"More affordable plans/pricing, Faster internet speeds",No,Insufficient data allowance,kYmtSLPLpCZPoU1FpgmB2tv9DibOF7SHveHKvQ7U3OysjP2
Female,College of Engineering,No,Level 300,On-campus,Yes,Occasionally,3,"Voice Calls, Mobile data/Internet",Yes,MTN,True,More affordable plans/pricing,Yes,"High costs/pricing, Insufficient data allowance, Unsatisfactory customer service",1FB4O84kWLLv61WuVgPV0tA7xxyBY5Z0ICkWGr97bfoHJHe3hVbGf5kK5y5bgv1TVP6i5wmc
Female,College of Engineering,No,Level 100,Off-campus,No,Occasionally,4,Voice Calls,Yes,"AirtelTigo, Glo, MTN",False,"More affordable plans/pricing, Better network coverage/signal strength",No,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",5bK3WNR5M4KsN3LqcRVMfzb
Male,College of Engineering,No,Level 400,Off-campus,Yes,Several times a week,3,"Mobile data/Internet, None of the above, Voice Calls, SMS/Text messaging",No,Glo,True,Better customer service,Yes,"Unsatisfactory customer service, High costs/pricing",USUkBJy6PkoDYrWZvE3oJ1c53gEATLPCDXhE3dBMAB0KKjlNZKGIrcN
Female,College of Engineering,Yes,Level 100,Off-campus,Yes,Never,1,SMS/Text messaging,Yes,MTN,True,"Better customer service, More affordable plans/pricing",No,High costs/pricing,yRsJs0n5XkDinwT1u0W2nasXggn7m1AnMNGNGKYNjcW3Ef8sfoRLuK8D3XyfrtE4tsyD7z4izGBbS88KLiUU
Male,College of Engineering,Yes,Level 300,Off-campus,Yes,Daily,3,"None of the above, Mobile data/Internet, SMS/Text messaging",Yes,"AirtelTigo, MTN, Glo",True,"Better network coverage/signal strength, Better customer service",No,"Insufficient data allowance, High costs/pricing",DlZIjfOSvSe6OY0TyYK5lq58yxwymd2rzwyjprJuVBrcYhOVX9HeQYRDfCBrYyESc2tioXG2
Male,College of Engineering,Yes,Level 300,Off-campus,Yes,Daily,5,"None of the above, Voice Calls, SMS/Text messaging, Mobile data/Internet",Yes,Glo,False,"Better customer service, Faster internet speeds, Better network coverage/signal strength",No,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",6T353n06PTKk2KnkrEPfP5tHDnO1pjyOEQYsB4KVi4c6mhSkz86qef5qD0nd17S04tkzOlGKJQ5Iu9aBHqSXRDNb
Male,College of Engineering,Yes,Level 300,Off-campus,No,Daily,4,"SMS/Text messaging, Voice Calls, None of the above",Yes,"AirtelTigo, Glo",False,Better customer service,No,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing",ICoGHqHM0yho4hhgdg21dMXnJUeEmu9r1Ye2VxVxP13iFO2ECQPq7OsfPTQv2hLLevXSYxMKBOhkRWuRpdcZk78NyRO
Female,College of Engineering,Yes,Level 200,On-campus,No,Never,5,"SMS/Text messaging, Voice Calls, None of the above, Mobile data/Internet",No,"AirtelTigo, MTN",True,Faster internet speeds,Yes,"High costs/pricing, Insufficient data allowance",oSUgtJQQR7I5zxFSrS80v2jKR3WqvNAFOMf0fwZVea6CGRAaIIhdFDsdV3dLzpyRni1SH3AIHP0b7UUVUQClZ5dWxP6aVkJgvk
Male,College of Engineering,No,Level 400,Off-campus,No,Daily,5,"Voice Calls, None of the above",No,MTN,True,"More affordable plans/pricing, Faster internet speeds",No,Poor network quality/coverage,3lhhybErLFccalNpZrvjGkt96KfxP5d2RG5ewVAVcVvSiPOFWDh2w97k9nvPjZ
Male,College of Engineering,No,Level 300,On-campus,No,Daily,4,"None of the above, Voice Calls",Yes,"Glo, MTN",False,"More affordable plans/pricing, Faster internet speeds, Better network coverage/signal strength",No,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",Lh98KQQ6czBC3VDbwH06N8TH2DSYathSk0rmx
